CNPJ;Nome;Tipo de Participante;Código CVM;Data;Status
04.705.570/0001-38;AGROPASTORIL RIO CUNANY SA;CIAS INCENTIVADAS REGISTRADAS;509400;28/09/2008;Cancelado
43.126.184/0001-43;AGROPASTORIL RODA VELHA SA;CIAS INCENTIVADAS REGISTRADAS;504017;22/10/2007;Cancelado
25.129.453/0001-43;AGROPASTORIL SANGUINETTE SA AGROSAN;CIAS INCENTIVADAS REGISTRADAS;519561;17/07/2013;Cancelado
11.539.392/0001-88;AGROPASTORIL SERRA DA EMA SA;CIAS INCENTIVADAS REGISTRADAS;507873;28/09/2008;Cancelado
11.539.392/0001-88;AGROPASTORIL SERRA DA EMA SA;CIAS INCENTIVADAS REGISTRADAS;519162;25/11/2011;Cancelado
09.597.170/0001-70;AGROPEC AGUA BRANCA SA;CIAS INCENTIVADAS REGISTRADAS;504084;28/09/2008;Cancelado
05.363.767/0001-07;AGROPEC ALTEROSA SA;CIAS INCENTIVADAS REGISTRADAS;512567;14/02/2012;Cancelado
05.363.767/0001-07;AGROPEC ALTEROSA SA;CIAS INCENTIVADAS REGISTRADAS;520870;28/12/2018;Cancelado
04.599.353/0001-00;AGROPEC AMAMBAI SA;CIAS INCENTIVADAS REGISTRADAS;504602;14/02/2012;Cancelado
09.569.724/0001-25;AGROPEC ANGELUS SA;CIAS INCENTIVADAS REGISTRADAS;503371;14/02/2012;Cancelado
04.697.033/0001-93;AGROPEC AQUARIUS SA;CIAS INCENTIVADAS REGISTRADAS;519030;11/11/2010;Cancelado
04.407.979/0001-78;AGROPEC ARUANA SA;CIAS INCENTIVADAS REGISTRADAS;505188;26/05/1995;Cancelado
04.851.523/0001-00;AGROPEC BAIXO AMAZONAS SA;CIAS INCENTIVADAS REGISTRADAS;517763;01/08/2016;Cancelado
05.426.804/0001-70;AGROPEC BARRA DAS PRINCESAS SA;CIAS INCENTIVADAS REGISTRADAS;509647;28/08/1998;Cancelado
04.987.376/0001-92;AGROPEC BEBEDOURO SA;CIAS INCENTIVADAS REGISTRADAS;506966;24/10/2012;Cancelado
21.363.270/0001-37;AGROPEC BELA VISTA SA;CIAS INCENTIVADAS REGISTRADAS;502286;14/02/2012;Cancelado
04.022.489/0001-53;AGROPEC BELO HORIZONTE SA;CIAS INCENTIVADAS REGISTRADAS;508799;14/02/2012;Cancelado
11.527.439/0001-93;AGROPEC BELO VALE SA;CIAS INCENTIVADAS REGISTRADAS;506524;08/04/1997;Cancelado
21.706.502/0001-02;AGROPEC BETANIA SA;CIAS INCENTIVADAS REGISTRADAS;503967;14/02/2012;Cancelado
12.791.281/0001-27;AGROPEC BOA ESPERANCA SA;CIAS INCENTIVADAS REGISTRADAS;511781;14/02/2012;Cancelado
04.880.829/0001-87;AGROPEC BOA SORTE SA;CIAS INCENTIVADAS REGISTRADAS;507890;14/02/2012;Cancelado
13.951.272/0001-19;AGROPEC BOA VISTA SA;CIAS INCENTIVADAS REGISTRADAS;506648;14/02/2012;Cancelado
31.690.746/0001-06;AGROPEC BOA VISTA SA;CIAS INCENTIVADAS REGISTRADAS;506745;22/10/2003;Cancelado
13.951.272/0001-19;AGROPEC BOA VISTA SA;CIAS INCENTIVADAS REGISTRADAS;520497;11/10/2016;Cancelado
31.499.015/0001-70;AGROPEC BONOMO SA;CIAS INCENTIVADAS REGISTRADAS;508608;14/02/2012;Cancelado
31.499.015/0001-70;AGROPEC BONOMO SA;CIAS INCENTIVADAS REGISTRADAS;520489;10/10/2016;Cancelado
08.021.867/0001-35;AGROPEC BRITO IRMAOS SA;CIAS INCENTIVADAS REGISTRADAS;502952;14/02/2012;Cancelado
04.818.803/0001-09;AGROPEC CAJABI SA;CIAS INCENTIVADAS REGISTRADAS;514381;28/09/2008;Cancelado
12.799.904/0001-08;AGROPEC CAMBOA SA;CIAS INCENTIVADAS REGISTRADAS;511374;14/02/2012;Cancelado
